73.3 0.326 1593 2050 tilde-nc-nmt.5485 
71.1 0.238 1596 2038 NICT.5664 
69.9 0.215 1648 2132 tilde-c-nmt.5715 
69.2 0.186 1606 2042 uedin.5562 
69 0.187 1603 2074 M4t1ss.5692 
68.7 0.171 1604 2076 tilde-c-nmt-comb.5718 
67.1 0.117 1622 2089 online-B.0 
66.8 0.106 1596 2060 talp-upc.5421 
66.4 0.106 1612 2052 HY-NMT-et-en.5463 
65.4 0.063 1626 2086 online-A.0 
64 0.007 1600 2077 CUNI-Kocmi.5618 
59.4 -0.117 1611 2062 neurotolge.ee.5398 
52.7 -0.341 1567 2011 online-G.0 
34.6 -0.95 1550 2019 UnsupTartu.5722 
