RAW.SCR Z.SCR N SYS N.ALL 
76.2985739750446 0.351726260389291 748 uedin.5770 861 
71.7563249001332 0.212998857653299 751 LMU-nmt.5741 866 
81.9295309653916 0.550592930465294 732 Microsoft-Marian.5691 847 
82.2646809460063 0.53748168996855 747 UCAM.5585 864 
53.8449455337691 -0.416175731766424 765 online-G.0 877 
76.7435641367066 0.376990718116945 751 JHU.5703 877 
79.3258967629046 0.453630226043511 762 KIT.5486 865 
53.1779038718291 -0.384964399863802 749 online-F.0 842 
36.7293618920125 -0.96647058700437 747 RWTH-UNSUPER.5484 848 
32.6279761904762 -1.12169882633799 756 LMU-unsup.5651 861 
81.61199645861 0.538663384855781 753 MMT-production-system.5594 851 
67.3662579473206 0.0596401099582722 734 online-A.0 851 
82.2279279279279 0.560540809814327 740 online-B.0 857 
77.6991733690795 0.395549533069885 746 online-Y.0 859 
85.4725516029864 0.652679427508658 759 online-Z.0 868 
80.2380952380952 0.491051004480658 742 NTT.5667 860 
