RAW.SCR Z.SCR N SYS N.ALL 
63.9561979166667 0.00651554936687861 1600 CUNI-Kocmi.5618 2077 
34.6249462365591 -0.950410740258722 1550 UnsupTartu.5722 2019 
59.4349782743638 -0.117268877325326 1611 neurotolge.ee.5398 2062 
66.7765768588137 0.106112940565043 1596 talp-upc.5421 2060 
68.9530047826991 0.186845891829757 1603 M4t1ss.5692 2074 
65.4245079950799 0.0626445967484518 1626 online-A.0 2086 
52.7085513720485 -0.34082845379967 1567 online-G.0 2011 
71.0795217209691 0.238074549782646 1596 NICT.5664 2038 
68.6615752285952 0.171104608359748 1604 tilde-c-nmt-comb.5718 2076 
69.9393203883495 0.215105628430806 1648 tilde-c-nmt.5715 2132 
67.0974106041924 0.116683166955439 1622 online-B.0 2089 
66.3773779983457 0.106403615397145 1612 HY-NMT-et-en.5463 2052 
69.2200601909506 0.186117697193323 1606 uedin.5562 2042 
73.3265327474367 0.326327877901256 1593 tilde-nc-nmt.5485 2050 
