RAW.SCR Z.SCR N SYS N.ALL 
34.2812602024159 -0.519683493337282 1021 parfda.5779 1147 
45.7250410509031 -0.131593478456752 1015 neurotolge.ee.5399 1125 
61.5811122079631 0.426950857297912 1013 tilde-c-nmt.5565 1135 
58.6300492610837 0.340243323732336 1015 Aalto.5551 1132 
37.6252455795678 -0.405971794117471 1018 online-G.0 1128 
58.6384236453202 0.328697062597332 1015 HY-NMT-en-et.5469 1121 
62.0807086614173 0.452501444869558 1016 NICT.5500 1119 
52.1225393700787 0.0973505413762716 1016 online-B.0 1130 
61.2308580858086 0.418296211914376 1010 M4t1ss.5723 1116 
64.8801112201505 0.549023476001634 1019 tilde-nc-nmt.5449 1140 
57.4692682926829 0.295059338770521 1025 uedin.5563 1132 
55.546699669967 0.216451244805458 1010 CUNI-Kocmi.5616 1124 
43.8390522875817 -0.19483728331605 1020 online-A.0 1119 
54.6355293346444 0.181309547119239 1017 talp-upc.5422 1132 
