85.5 0.653 759 868 online-Z.0 
82.3 0.537 747 864 UCAM.5585 
82.2 0.561 740 857 online-B.0 
81.9 0.551 732 847 Microsoft-Marian.5691 
81.6 0.539 753 851 MMT-production-system.5594 
80.2 0.491 742 860 NTT.5667 
79.3 0.454 762 865 KIT.5486 
77.7 0.396 746 859 online-Y.0 
76.7 0.377 751 877 JHU.5703 
76.3 0.352 748 861 uedin.5770 
71.8 0.213 751 866 LMU-nmt.5741 
67.4 0.06 734 851 online-A.0 
53.8 -0.416 765 877 online-G.0 
53.2 -0.385 749 842 online-F.0 
36.7 -0.966 747 848 RWTH-UNSUPER.5484 
32.6 -1.122 756 861 LMU-unsup.5651 
