RAW.SCR Z.SCR N SYS N.ALL 
80.6679548685146 0.219478108398978 1876 Tencent-ensemble-system.5760 2380 
79.4808086454258 0.165785060674391 1789 online-B.0 2241 
70.7129076086957 -0.202429165218346 1840 uedin.5735 2327 
77.5353255856853 0.0815342208613211 1807 NICT.5538 2282 
78.1056942133481 0.0940549015930172 1803 UMD.5680 2260 
80.3175256818987 0.205748426021447 1882 Unisound.5669 2389 
79.657766902302 0.185185845472746 1839 Alibaba-ensemble-system-with-reranking.5738 2338 
78.9983498349835 0.165008461806496 1818 Alibaba-General-System.5743 2330 
79.1957001102536 0.173172875081796 1814 Alibaba-General-System.5749 2320 
63.3076783114993 -0.418551805388446 1832 online-F.0 2301 
77.0604660119392 0.0686794425165679 1731 online-Y.0 2215 
63.3982967718923 -0.434710835836046 1869 online-G.0 2403 
80.5289815322728 0.199495822583586 1823 GTCOM-Primary.5762 2328 
75.5173344310282 0.0370449060311391 1822 online-A.0 2297 
