64.9 0.549 1019 1140 tilde-nc-nmt.5449 
62.1 0.453 1016 1119 NICT.5500 
61.6 0.427 1013 1135 tilde-c-nmt.5565 
61.2 0.418 1010 1116 M4t1ss.5723 
58.6 0.34 1015 1132 Aalto.5551 
58.6 0.329 1015 1121 HY-NMT-en-et.5469 
57.5 0.295 1025 1132 uedin.5563 
55.5 0.216 1010 1124 CUNI-Kocmi.5616 
54.6 0.181 1017 1132 talp-upc.5422 
52.1 0.097 1016 1130 online-B.0 
45.7 -0.132 1015 1125 neurotolge.ee.5399 
43.8 -0.195 1020 1119 online-A.0 
37.6 -0.406 1018 1128 online-G.0 
34.3 -0.52 1021 1147 parfda.5779 
