RAW.SCR Z.SCR N SYS N.ALL 
33.2614638447972 -0.456715705668452 378 C-3MA.5069 439 
45.7202380952381 -0.0627799283599045 280 KIT.5062 325 
50.7850304612707 0.0746860978954445 383 limsi-factored-norm.5041 448 
47.2564102564103 -0.0274719730019113 247 usfd-consensus-kit.5078 299 
45.1979487179487 -0.0723107746756775 325 uedin-nmt.5016 384 
42.9669499527856 -0.198320000125158 353 LIUM-NMT.5042 420 
50.0127192982456 0.0579799593409942 380 usfd-consensus-qt21.5077 458 
18.7624286878566 -0.947219005210534 409 PJATK.4744 486 
40.0665694849368 -0.253130654857103 343 HY-HNMT.5066 407 
51.5730730730731 0.121085873604505 333 online-B.0 376 
51.1214596949891 0.104209168697341 306 tilde-c-nmt-smt-hybrid.5049 377 
47.1406862745098 -0.0140973419485193 340 QT21-System-Combination.5063 402 
44.9078212290503 -0.0988629323128168 358 tilde-nc-smt.5044 418 
54.3993055555556 0.1962600145834 336 tilde-nc-nmt-smt-hybrid.5047 393 
43.2300399201597 -0.157321384508512 334 LIUM-FNMT.5043 393 
36.0867052023121 -0.367591154356101 346 jhu-pbmt.4969 427 
37.4930362116992 -0.340708608580579 359 online-A.0 430 
