RAW.SCR Z.SCR N SYS N.ALL 
68.5399954462659 0.281968267241745 1830 online-A.0 2626 
46.4499272991639 -0.435739325124835 1834 jhu-pbmt.4972 2655 
53.5230561755952 -0.182909260004317 1792 PROMT-SMT.4737 2522 
56.6826566555432 -0.0974798833980037 1798 LIUM-NMT.4888 2571 
57.97683091007 -0.0830883391609185 1857 afrl-mitll-m2w-nr1.4901 2684 
56.9912464985994 -0.0931652786282741 1785 afrl-mitll-syscomb.4902 2508 
68.8149278579356 0.293757575339029 1802 online-B.0 2521 
61.0972017742544 0.0500291907183615 1766 uedin-nmt.4931 2554 
58.6145471014493 -0.0289623778766442 1840 online-G.0 2624 
45.5201593477858 -0.475480673381661 1799 JAIST.4859 2588 
