73.2 0.209 1697 2410 SogouKnowing-nmt.5171 
73.8 0.208 1703 2401 uedin-nmt.5112 
72.3 0.184 1699 2448 xmunmt.5160 
69.9 0.113 1706 2391 online-B.0 
70.4 0.109 1736 2458 online-A.0 
69.8 0.079 1703 2382 NRC.5172 
67.9 0.023 1733 2421 jhu-nmt.5151 
66.9 -0.016 1718 2470 afrl-mitll-opennmt.5109 
67.1 -0.026 1688 2358 CASICT-cons.5144 
65.4 -0.058 1696 2422 ROCMT.5167 
64.3 -0.107 1705 2392 Oregon-State-University-S.5173 
61.7 -0.209 1709 2413 PROMT-SMT.5125 
61.2 -0.265 1719 2426 NMT-Model-Average-Multi-Cards.5099 
60 -0.276 1710 2411 UU-HNMT.5162 
59.6 -0.279 1719 2483 online-F.0 
59.3 -0.305 1733 2450 online-G.0 
