RAW.SCR Z.SCR N SYS N.ALL 
41.86096184686 -0.327307216447958 1540 PJATK.4761 2264 
55.9050827870513 0.110660572312003 1249 limsi-factored-norm.4957 1862 
44.9295311019084 -0.236112900133421 1459 tuning-task-ufal_8gb.sgm.0 2197 
42.2375750817283 -0.314627598536623 1612 tuning-task-afrl_4gb.sgm.0 2257 
55.2258828171514 0.10155024946451 1413 LIUM-FNMT.4852 1920 
59.7115887169134 0.240241418223239 1486 online-B.0 2094 
40.5277623722619 -0.375711082747712 1444 tuning-task-afrl_8gb.sgm.0 2087 
55.1508376104933 0.0903861328668466 1336 LIUM-NMT.4947 1966 
40.668944000551 -0.373046484083652 1525 tuning-task-baseline_8gb.sgm.0 2088 
61.9586733325671 0.307850942426271 1243 uedin-nmt.4956 1716 
54.1243709447475 0.0503780778097074 1414 CU-Chimera.4886 1940 
53.2872142502899 0.0290336261244355 1621 online-A.0 2258 
36.6098113892146 -0.492713357109764 1627 tuning-task-denisov_4gb.sgm.0 2223 
36.52174009079 -0.485578996370274 1563 tuning-task-ufal_4gb.sgm.0 2251 
42.2451864218141 -0.140625756871239 2995 tuning-task-baseline_4gb.sgm.0 3441 
