72.9 0.257 456 642 LMU-nmt-reranked.4934 
70.2 0.158 450 644 online-B.0 
69.8 0.139 365 558 uedin-nmt.4722 
68.9 0.092 479 700 SYSTRAN.4847 
66.9 0.035 357 516 LMU-nmt-single.4893 
66.7 0.022 407 575 KIT.4950 
66.6 0.006 375 612 LIUM-NMT.4900 
66.4 0.015 459 684 xmu.4910 
66 -0.003 466 689 RWTH-nmt-ensemble.4921 
60.3 -0.234 494 666 PROMT-Rule-based.4735 
60.1 -0.233 451 624 online-A.0 
58.9 -0.27 462 686 C-3MA.4959 
58.1 -0.301 365 572 fbk-nmt-combination.4870 
55.2 -0.391 473 681 TALP-UPC.4834 
54.9 -0.44 450 640 online-F.0 
53.2 -0.491 516 740 online-G.0 
