62 0.308 1243 1716 uedin-nmt.4956 
59.7 0.24 1486 2094 online-B.0 
55.9 0.111 1249 1862 limsi-factored-norm.4957 
55.2 0.102 1413 1920 LIUM-FNMT.4852 
55.2 0.09 1336 1966 LIUM-NMT.4947 
54.1 0.05 1414 1940 CU-Chimera.4886 
53.3 0.029 1621 2258 online-A.0 
44.9 -0.236 1459 2197 tuning-task-ufal_8gb.sgm.0 
42.2 -0.315 1612 2257 tuning-task-afrl_4gb.sgm.0 
41.9 -0.327 1540 2264 PJATK.4761 
40.7 -0.373 1525 2088 tuning-task-baseline_8gb.sgm.0 
40.5 -0.376 1444 2087 tuning-task-afrl_8gb.sgm.0 
36.5 -0.486 1563 2251 tuning-task-ufal_4gb.sgm.0 
36.6 -0.493 1627 2223 tuning-task-denisov_4gb.sgm.0 
